MC-ID NO.,Street Name,Location,Village Name,Area,County
,August Loop,VOSO - Unit 133,DeLuna,13,Sumter
SE 172ND,Augusta Lane,Marion - Unit 215 (Ivystone Villas),Woodbury,4,Marion
,Augustine Drive,Sumter - Unit 22,Santo Domingo,2,Sumter
,Augustine Drive,Sumter - Unit 26,Santo Domingo,2,Sumter
,Aurea Place,VOSO - Unit 123 (DeLuna Verandas East),DeLuna,13,Sumter
,Auster Avenue,VOSO - Unit 49,St. Catherine,13,Sumter
,Auster Avenue,VOSO - Unit 49,St. Catherine,13,Sumter
,Austin Avenue,VOSO - Unit 32,DeLuna,12,Sumter
,Ava Street,VOSO - Unit 728 (Ava Villas),Marsh Bend,12,Sumter
,Avalon Avenue,Lake - Unit 80 (Courtyard Villas),El Cortez,LL,Lake
,Avalos Drive,Sumter - Unit 32 (Harmeswood of Belle Aire),Belle Aire,2,Sumter
,Avecilla Drive,Sumter - Unit 971 (Haciendas Of Mission Hills),Bridgeport @ Mission Hills,9,Sumter
,Avenida Central,Lake - Unit 14,Del Mar,LL,Lake
,Avenida Central,Spanish Springs Town Center,N/A,VCCDD,Lake
,Avenida De Las Casas,Town Center,Hacienda,LL,Lake
,Avenida Sonoma,Town Center,Hacienda,LL,Lake
,Avery Place,Sumter - Unit 641 (Heritage Villas),Bonnybrook,5,Sumter
,Avidon Lane,VOSO - Unit 25,Marsh Bend,12,Sumter
,Avignon Terrace,Sumter - Unit 655 (Lime Grove Villas),Poinciana,5,Sumter
,Avila Place,Sumter - Unit 22,Santo Domingo,2,Sumter
,Avon Loop,Sumter - Unit 81,Bonnybrook,5,Sumter
,Avondale Avenue,Sumter - Unit 178,Sanibel,9,Sumter
,Awendaw Loop,Sumter - Unit 104,Tall Trees,6,Sumter
,Ayala Way,Sumter - Unit 29,Santiago,2,Sumter
,Azalea Drive,Lake - Unit 8,Country Club,LL,Lake
,Azteca Loop,Sumter - Unit 607 (Villa Escandido),Santiago,2,Sumter
,Bachman Path,Sumter - Unit 161,Buttonwood,8,Sumter
,Bachman Path,Sumter - Unit 160,Tamarind Grove,8,Sumter
,Backwater Way,Sumter - Unit 142,Duval,7,Sumter
,Backwater Way,Sumter - Unit 145,Duval,7,Sumter
,Bacon Terrace,VOSO - Unit 23,Marsh Bend,12,Sumter
,Badger Street,Sumter - Unit 201,Dunedin,10,Sumter
,Badger Street,Sumter - Unit 202,Dunedin,10,Sumter
,Baez Way,Sumter - Unit 27,Santiago,2,Sumter
,Baffie Court,Sumter - Unit 197,Sanibel,9,Sumter
,Bailey Trail,Villages Of Sumter Throughway,N/A,5,Sumter
,Bainan Place,Sumter - Unit 70,Winifred,5,Sumter
,Bainbridge Lane,Sumter - Unit 715 (Bainbridge Villas),Hadley,7,Sumter
,Baisley Trail,Sumter - Unit 136,Bonita,7,Sumter
,Baker Lane,Sumter - Unit 175,Sanibel,9,Sumter
,Balboa Court,Sumter - Unit 684 (San Pedro Courtyard),Rio Grande,1,Sumter
,Balcharan Terrace,VOSO - Unit 133,DeLuna,13,Sumter
,Balcorta Place,Sumter - Unit 4,Rio Ponderosa,1,Sumter
,Baldeschwieler Way,VOSO - Unit 42,Monarch Grove,12,Sumter
,Baldwin Run,Sumter - Unit 149,St. Charles,8,Sumter
,Ballesteros Drive,Sumter - Unit 28,Santiago,2,Sumter
,Ballesteros Drive,Sumter - Unit 606 (Villa San Leandro),Santiago,2,Sumter
,Balmoral Lane,Sumter - Unit 79,Belvedere,5,Sumter
,Balsa Court,Sumter - Unit 131,Amelia,6,Sumter
,Bamberg Avenue,Sumter - Unit 656 (Mount Pleasant Villas),Poinciana,5,Sumter
,Bamboo Avenue,VOSO - Unit 138 (Bamboo Villas),Hammock at Fenney,13,Sumter
,Banberry Run,Sumter - Unit 127,Amelia,6,Sumter
,Bancroft Place,Sumter - Unit 108,Virginia Trace,6,Sumter
,Banderos Avenue,Spanish Plaines,N/A,SC,Sumter
,Bando Lane,Sumter - Unit 27,Santiago,2,Sumter
,Banning Court,Sumter - Unit 710 (Margaux Villas),Hemingway,7,Sumter
,Banyan Place,Sumter - Unit 88,Lynnhaven,5,Sumter
,Barbados Place,Sumter - Unit 35,Polo Ridge,3,Sumter
,Barbosa Court,Sumter - Unit 23,Santo Domingo,2,Sumter
,Barboza Drive,Sumter - Unit 605 (Villa La Crescenta),Santiago,2,Sumter
,Barcelona Drive,Sumter - Unit 9,Hacienda,1,Sumter
,Barclay Court,VOSO - Unit 75,Cason Hammock,13,Sumter
,Barker Way,Sumter - Unit 143,Hemingway,7,Sumter
,Barksdale Drive,Sumter - Unit 152,St. James,8,Sumter
,Barley Path,VOSO - Unit 58,Citrus Grove,13,Sumter
,Barnacle Terrace,Sumter - Unit 171,Bridgeport @ Miona Shores,6,Sumter
,Barnes Avenue,VOF - Unit 10,Fenney,12,Sumter
,Barnhill Lane,VOF - Unit 13,Hammock at Fenney,12,Sumter
,Barnsdale Run,Sumter - Unit 134,Hadley,7,Sumter
,Barnwell Place,Sumter - Unit 660 (Sullivan Villas),Poinciana,5,Sumter
,Barr Boulevard,Village of Southern Oaks Throughway,N/A,SC,Sumter
,Barr Boulevard,Villages of Southern Oaks Throughway,N/A,SC,Sumter
,Barraw Terrace,VOSO - Unit 50,St. Catherine,13,Sumter
,Barraza Court,Sumter - Unit 17,Tierra Del Sol,1,Sumter
,Barrel Loop,Sumter - Unit 237,Dunedin,10,Sumter
,Barrera Court,Sumter - Unit 25,Santo Domingo,2,Sumter
,Barret Lane,Sumter - Unit 160,Tamarind Grove,8,Sumter
,Barrineau Place,Sumter - Unit 941 (Barrineau Villas),Fernandina,9,Sumter
,Barrington Court,Sumter - Unit 37,Glenbrook,3,Sumter
,Barron Place,VOSO - Unit 50,St. Catherine,13,Sumter
,Barrymoore Loop,Sumter - Unit 83,Ashland,5,Sumter
,Bartelson Terrace,VOSO - Unit 119,DeLuna,13,Sumter
,Bartlet Lane,Sumter - Unit 138,Hemingway,7,Sumter
,Bartow Lane,Sumter - Unit 229,Pinellas,9,Sumter
,Bartow Lane,Sumter - Unit 943 (Bartow Villas),Pinellas,9,Sumter
SE 177TH,Bartram Loop,Marion - Unit 45,Piedmont,4,Marion
,Bassinger Court,Sumter - Unit 149,St. Charles,8,Sumter
,Basso Run,Sumter - Unit 957 (Belle Glade Villas),Osceola Hills,10,Sumter
,Batally Court,Sumter - Unit 34,Polo Ridge,3,Sumter
,Batesburg Way,Sumter - Unit 101,Tall Trees,6,Sumter
